Time since VM started(s),pre-collection young gen usage(K),post-collection young gen usage(K),Total young gen size(K),pre-collection heap size(K),post-collection heap size(K),total heap size(K),total collection time(s)
41.901,16777216,128327,18874368,16777216,128327,39845888,0.1245200
68.136,16905543,142774,18874368,16905543,142774,39845888,0.1031290
316.726,16919990,168494,18874368,16919990,168494,39845888,0.1069160
534.316,16945710,186065,18874368,16945710,186065,39845888,0.1137550
830.014,16963281,190749,18874368,16963281,190749,39845888,0.1086430
1100.199,16967965,205854,20725056,16967965,205854,41696576,0.1618000
1459.925,20715806,87216,20597184,20715806,228049,41568704,0.1719190
1752.670,20597168,42651,20705024,20738001,219745,41676544,0.0755310
2029.476,20507035,40893,20505280,20684129,239736,41476800,0.0730460
2249.363,20505277,70457,20713024,20704120,287455,41684544,0.0840380
2464.983,20522873,41546,20710912,20739871,328349,41682432,0.0929540
2584.365,20493962,18174,20705920,20780765,345597,41677440,0.0575660
2751.376,20464254,13684,20459776,20791677,351524,41431296,0.0513900
3033.107,20459764,10435,20709568,20797604,359132,41681088,0.0669620
3155.318,20456579,33267,20708096,20805276,391304,41679616,0.0541830
3443.852,20479411,34097,20725568,20837448,402286,41697088,0.0686620
3787.722,20505265,21874,20717120,20873454,409010,41688640,0.0734910
3877.450,20493042,37622,20742912,20880178,445904,41714432,0.0749690
3976.687,20541430,36406,20732416,20949712,479364,41703936,0.0705230
4281.337,20540214,30246,20762048,20983172,504335,41733568,0.1024180
4400.526,20573798,34634,20753024,21047887,535388,41724544,0.1097250
4498.584,20578186,20967,20779136,21078940,552519,41750656,0.0918430
4799.107,20600423,59811,20771840,21131975,609755,41743360,0.1042660
5155.643,20639267,23327,20798144,21189211,631991,41769664,0.1077970
5251.922,20641375,18432,20791424,21250039,649693,41762944,0.1206250
5515.055,20636480,25024,20811776,21267741,670943,41783296,0.1067620
5644.000,20669504,49852,20804224,21315423,713934,41775744,0.1154460
5890.169,20694332,22424,20827968,21358414,702649,41799488,0.1542180
